"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Id2",0,1.97070516417292,0.899,0.335,0,"1","Id2"
"Fabp3",0,1.56333182656849,0.992,0.408,0,"1","Fabp3"
"Id1",0,1.34737137534936,0.849,0.162,0,"1","Id1"
"Bex1",0,1.25644091335112,1,0.79,0,"1","Bex1"
"Bex3",0,1.23856054486945,0.999,0.909,0,"1","Bex3"
"Tceal9",0,1.02061416164588,0.999,0.85,0,"1","Tceal9"
"Ddah1",0,0.960144615084996,0.731,0.059,0,"1","Ddah1"
"Id3",0,0.951047556144762,0.785,0.182,0,"1","Id3"
"Slc2a3",0,0.934661470582372,0.777,0.042,0,"1","Slc2a3"
"Cldn6",0,0.934511514446061,0.897,0.072,0,"1","Cldn6"
"Fbxo21",0,0.798824593464828,0.896,0.402,0,"1","Fbxo21"
"Apoe",0,0.787644452311,0.721,0.213,0,"1","Apoe"
"Hdgf",0,0.765189844520326,0.998,0.92,0,"1","Hdgf"
"Dnmt3b",0,0.751873807608115,0.884,0.394,0,"1","Dnmt3b"
"Wnt6",0,0.738066853564988,0.754,0.008,0,"1","Wnt6"
"Eif1ax",0,0.725599357075368,0.928,0.425,0,"1","Eif1ax"
"Tomm20",0,0.719196621820679,1,0.993,0,"1","Tomm20"
"Slc16a3",0,0.716572271114103,0.861,0.218,0,"1","Slc16a3"
"Pcbp4",0,0.698463175370201,0.851,0.221,0,"1","Pcbp4"
"Rpl22",0,0.693083699370538,1,0.985,0,"1","Rpl22"
"Apoc1",0,0.692000481824045,0.884,0.33,0,"1","Apoc1"
"Pou3f1",0,0.666330230416367,0.622,0.074,0,"1","Pou3f1"
"Nop10",0,0.66379562948446,1,0.961,0,"1","Nop10"
"Lin28a",0,0.625643769935741,0.785,0.046,0,"1","Lin28a"
"Sdc4",0,0.62417877500128,0.788,0.145,0,"1","Sdc4"
"Sall4",0,0.620549285628362,0.849,0.269,0,"1","Sall4"
"Efna3",0,0.60926457874431,0.619,0.012,0,"1","Efna3"
"Cdh1",0,0.605187839225162,0.909,0.295,0,"1","Cdh1"
"Wnt7b",0,0.588103433349225,0.673,0.071,0,"1","Wnt7b"
"Hmgb3",0,0.554880846197437,0.752,0.138,0,"1","Hmgb3"
"Myef2",0,0.530110379926338,0.769,0.161,0,"1","Myef2"
"Pdgfa",0,0.509144803044212,0.782,0.173,0,"1","Pdgfa"
"Ctdsp2",0,0.501768736287044,0.804,0.277,0,"1","Ctdsp2"
"Car4",0,0.488124154410952,0.798,0.206,0,"1","Car4"
"Pcsk1n",0,0.459133656334327,0.682,0.139,0,"1","Pcsk1n"
"Kcnk1",0,0.424898851101848,0.727,0.197,0,"1","Kcnk1"
"Cldn3",0,0.419387882638791,0.74,0.182,0,"1","Cldn3"
"Zfp462",0,0.418293269866873,0.647,0.07,0,"1","Zfp462"
"Bex4",0,0.407970712815908,0.552,0.1,0,"1","Bex4"
"Dnmt3l",0,0.403952932750096,0.587,0.008,0,"1","Dnmt3l"
"Ak4",0,0.38922414548462,0.637,0.097,0,"1","Ak4"
"Efna4",0,0.381849368123024,0.546,0.025,0,"1","Efna4"
"Cldn4",0,0.374482888339808,0.667,0.123,0,"1","Cldn4"
"Rpp25",0,0.372843847157201,0.62,0.078,0,"1","Rpp25"
"Rbpms2",0,0.371459674701545,0.689,0.161,0,"1","Rbpms2"
"Htra1",0,0.34124683190541,0.456,0.04,0,"1","Htra1"
"Bend4",0,0.339741454736275,0.604,0.138,0,"1","Bend4"
"Smco4",0,0.333110883458796,0.609,0.113,0,"1","Smco4"
"Mpped2",0,0.326133630506464,0.429,0.034,0,"1","Mpped2"
"Cgn",0,0.308151959053626,0.584,0.097,0,"1","Cgn"
"Erf",0,0.283098611216663,0.571,0.1,0,"1","Erf"
"Bmp8b",0,0.281663813418113,0.51,0.068,0,"1","Bmp8b"
"Irx4",0,0.281357842041821,0.466,0.038,0,"1","Irx4"
"Mgarp",0,0.279591339091996,0.53,0.087,0,"1","Mgarp"
"Ak1",0,0.277521397861627,0.408,0.004,0,"1","Ak1"
"Eva1b",0,0.274583151106085,0.493,0.07,0,"1","Eva1b"
"Slc24a5",0,0.271982991453424,0.38,0.045,0,"1","Slc24a5"
"Fhl1",0,0.265209092841543,0.465,0.029,0,"1","Fhl1"
"Rgs19",0,0.254012685911805,0.482,0.063,0,"1","Rgs19"
"Cdkn2a",7.99663063530512e-304,0.525694633425557,0.83,0.316,1.51208288682985e-299,"1","Cdkn2a"
"Gm1673",4.17501373128192e-301,0.787394702666536,0.632,0.172,7.89453346448098e-297,"1","Gm1673"
"Tmem54",1.22320012059449e-298,0.531508256206145,0.858,0.308,2.31294910803212e-294,"1","Tmem54"
"Dut",1.35638901029456e-295,0.704891565608811,0.996,0.888,2.56479597956599e-291,"1","Dut"
"Ybx1",1.09788693094203e-294,0.681657068508682,1,0.975,2.07599439771829e-290,"1","Ybx1"
"Rangrf",1.09857348279763e-294,0.718990889924904,0.976,0.666,2.07729259862204e-290,"1","Rangrf"
"Rpl13a",1.07574814299692e-293,0.571125860774691,1,0.991,2.03413216359287e-289,"1","Rpl13a"
"Sumo2",4.62925252249376e-293,0.59540573539038,1,0.989,8.75345359478344e-289,"1","Sumo2"
"Cks1b",1.20593239666974e-291,0.677948439747123,0.999,0.941,2.28029756886281e-287,"1","Cks1b"
"Mrpl42",1.60422514552103e-289,0.669160111013022,0.995,0.929,3.03342932766571e-285,"1","Mrpl42"
"Hmga2",7.93171790492766e-289,0.507504065969567,0.769,0.256,1.49980853864277e-284,"1","Hmga2"
