Adam8	a disintegrin and metallopeptidase domain 8	MGI:107825	Mus musculus/domesticus	placenta
Adra2a	adrenergic receptor, alpha 2a	MGI:87934	Mus musculus/domesticus	uterus
Aplnr	apelin receptor	MGI:1346086	Mus musculus/domesticus	uterus
Aqp5	aquaporin 5	MGI:106215	Mus musculus/domesticus	placenta
Aqp8	aquaporin 8	MGI:1195271	Mus musculus/domesticus	placenta
Arap1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	MGI:1916960	Mus musculus/domesticus	uterus
Atp12a	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	MGI:1926943	Mus musculus/domesticus	uterus
Atp6v0a4	ATPase, H+ transporting, lysosomal V0 subunit A4	MGI:2153480	Mus musculus/domesticus	placenta
Atp6v0a4	ATPase, H+ transporting, lysosomal V0 subunit A4	MGI:2153480	Mus musculus/domesticus	uterus
Barx2	BarH-like homeobox 2	MGI:109617	Mus musculus/domesticus	uterus
Bhlhe40	basic helix-loop-helix family, member e40	MGI:1097714	Mus musculus/domesticus	placenta
Bhlhe40	basic helix-loop-helix family, member e40	MGI:1097714	Mus musculus/domesticus	uterus
Bzw2	basic leucine zipper and W2 domains 2	MGI:1914162	Mus musculus/domesticus	uterus
C2	complement C2	MGI:88226	Mus musculus/domesticus	placenta
Casr	calcium-sensing receptor	MGI:1351351	Mus musculus/domesticus	placenta
Ccdc141	coiled-coil domain containing 141	MGI:1919735	Mus musculus/domesticus	uterus
Ccr1l1	C-C motif chemokine receptor 1 like 1	MGI:104617	Mus musculus/domesticus	uterus
Ccr2	C-C motif chemokine receptor 2	MGI:106185	Mus musculus/domesticus	placenta
Ccr2	C-C motif chemokine receptor 2	MGI:106185	Mus musculus/domesticus	uterus
Ccr4	C-C motif chemokine receptor 4	MGI:107824	Mus musculus/domesticus	placenta
Ccr4	C-C motif chemokine receptor 4	MGI:107824	Mus musculus/domesticus	uterus
Ccr5	C-C motif chemokine receptor 5	MGI:107182	Mus musculus/domesticus	placenta
Ccr5	C-C motif chemokine receptor 5	MGI:107182	Mus musculus/domesticus	uterus
Cd55	CD55 molecule, decay accelerating factor for complement	MGI:104850	Mus musculus/domesticus	placenta
Cd55	CD55 molecule, decay accelerating factor for complement	MGI:104850	Mus musculus/domesticus	uterus
Cdh1	cadherin 1	MGI:88354	Mus musculus/domesticus	placenta
Cdh1	cadherin 1	MGI:88354	Mus musculus/domesticus	uterus
Cdh3	cadherin 3	MGI:88356	Mus musculus/domesticus	placenta
Cdh3	cadherin 3	MGI:88356	Mus musculus/domesticus	uterus
Cdh5	cadherin 5	MGI:105057	Mus musculus/domesticus	placenta
Ceacam10	CEA cell adhesion molecule 10	MGI:1347248	Mus musculus/domesticus	placenta
Ceacam10	CEA cell adhesion molecule 10	MGI:1347248	Mus musculus/domesticus	uterus
Ch25h	cholesterol 25-hydroxylase	MGI:1333869	Mus musculus/domesticus	uterus
Chdh	choline dehydrogenase	MGI:1860776	Mus musculus/domesticus	uterus
Cited4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	MGI:1861694	Mus musculus/domesticus	placenta
Cited4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	MGI:1861694	Mus musculus/domesticus	uterus
Ckb	creatine kinase, brain	MGI:88407	Mus musculus/domesticus	uterus
Clcc1	chloride channel CLIC-like 1	MGI:2385186	Mus musculus/domesticus	uterus
Clu	clusterin	MGI:88423	Mus musculus/domesticus	placenta
Clu	clusterin	MGI:88423	Mus musculus/domesticus	uterus
Col4a5	collagen, type IV, alpha 5	MGI:88456	Mus musculus/domesticus	uterus
Col6a3	collagen, type VI, alpha 3	MGI:88461	Mus musculus/domesticus	placenta
Col6a3	collagen, type VI, alpha 3	MGI:88461	Mus musculus/domesticus	uterus
Col6a4	collagen, type VI, alpha 4	MGI:1915803	Mus musculus/domesticus	placenta
Col6a4	collagen, type VI, alpha 4	MGI:1915803	Mus musculus/domesticus	uterus
Crbn	cereblon	MGI:1913277	Mus musculus/domesticus	uterus
Csf1	colony stimulating factor 1 (macrophage)	MGI:1339753	Mus musculus/domesticus	placenta
Csf1	colony stimulating factor 1 (macrophage)	MGI:1339753	Mus musculus/domesticus	uterus
